Initials,Event,match kind,#,pos,team,Points,left zone,Amp Auton,Speaker Auton,Amp tele,Speaker tele,times amp,intake,Time to climb,climb,trap,Driver Skill,Defense,Spped,Died,tippy,note drop,alliance partner,comments,
ap,worlds,qm,15,r2,1710,36,1,0,2,0,0,1,s,17.8,h,0,a,x,5,0,0,0,0,Feeder bot,
A.A,2023tnkn,qm,15,b1,9501,25,0,0,1,0,5,0,b,20.2,h,1,v,x,5,0,0,1,0,,
NF,2023tnkn,qm,15,r3,449,36,1,0,1,9,8,0,x,13.6,h,0,v,x,5,0,0,0,1,VERY CONSISTENT I LOVE THEM,
ap,worlds,qm,16,r1,8717,24,0,0,1,0,2,0,s,0,p,0,a,x,3,0,0,0,0,Bad,
A.A,2023tnkn,qm,16,b1,4828,13,0,0,1,5,2,0,b,6.1,o,0,a,x,2,0,0,0,0,,
NF,2023tnkn,qm,16,r3,1902,60,0,0,0,0,0,0,x,5.9,o,0,n,a,2,0,0,0,0,um idk what they were doing. Bad defense ,
ZC,Worlds,qm,15,r1,1076,24,1,0,2,1,5,0,f,6.4,o,0,v,x,4,0,0,0,1,"Fast with speaker, not so much with amp",
AK,Houston ,qm,15,b3,2067,13,1,0,3,3,3,3,b,1.1,o,1,v,x,5,0,0,0,1,,
H.h,Worlds,qm,15,b2,2052,25,1,0,3,0,4,1,b,0,o,0,a,x,4,0,0,0,0,,
H.h,Worlds,qm,16,b2,9134,13,0,0,0,0,2,0,b,0,a,0,n,x,2,0,0,0,0,,
AP,Houston ,qm,16,r2,3603,24,1,0,3,0,9,0,b,3.4,o,0,v,x,5,0,0,0,1,Speaker bot mostly,
AK,Houston ,qm,16,b3,422,25,1,0,2,1,2,3,b,0,x,0,v,a,4,1,0,0,1,,
ap,worlds,qm,17,r1,7102,36,0,0,1,0,5,1,b,4.9,o,0,a,x,4,0,0,0,0,,
NF,2023tnkn,qm,17,r3,3538,36,1,0,1,1,1,1,x,6.4,h,1,a,x,3,0,0,0,0,passed notes across field entire time ,
AP,Houston ,qm,17,r2,5216,12,0,0,2,4,4,0,b,2.9,h,0,a,x,4,0,0,0,0,Maybe good partner,
AK,Houston ,qm,17,b3,9642,13,0,0,0,0,0,2,x,0,x,0,n,x,1,1,0,0,0,Was dead the full duration of the match ,
A.A,2023tnkn,qm,17,b1,7501,37,1,0,1,0,5,0,b,7.8,p,0,v,x,5,0,0,0,0,"stuck on blue stage at an angle, couldn�t move after20s",
ap,worlds,qm,18,r1,2811,12,1,0,2,2,0,2,b,2.3,o,0,a,x,4,0,0,0,0,,
NF,2023tnkn,qm,18,r3,1690,24,1,0,3,2,6,2,f,10.6,a,0,v,x,5,0,0,0,0,passed notes. Very fast. Good speaker ,
A.A,2023tnkn,qm,18,b1,6911,37,0,0,2,0,3,0,b,9.4,o,0,v,e,4,0,0,1,0,,
AK,Houston,qm,18,b3,3314,1,1,0,2,0,2,2,f,1.9,o,1,a,a,4,0,0,0,1,,
ap,worlds,qm,19,r1,4735,48,0,0,0,0,0,0,x,0,x,0,n,x,1,0,0,0,0,Sped,
NF,2023tnkn,qm,19,r3,9405,24,0,0,0,0,2,0,s,2.9,a,0,a,x,2,0,0,0,0,not that good ,
A.A,2023tnkn,qm,19,b1,9427,49,1,0,0,0,0,0,x,30.5,p,0,n,x,1,0,0,0,0,,
ap,worlds,qm,20,r1,103,36,0,0,4,0,0,0,x,6.1,o,0,x,x,3,0,0,0,0,Feeder bot,
A.A,2023tnkn,qm,20,b1,27,12,1,0,3,5,4,0,b,5.3,p,0,v,a,5,0,0,0,0,,
AK,Houston ,qm,19,b3,2813,24,0,0,0,0,1,2,f,0,p,0,a,g,3,0,0,0,0,,
H.h,Worlds,qm,19,b2,4795,25,1,0,1,2,0,0,x,0,x,0,a,x,2,0,0,0,0,,
NF,2023tnkn,qm,20,r3,4593,12,0,0,0,4,3,1,f,3.6,o,0,v,x,3,0,0,0,1,can shoot from pretty far ,
NF,2023tnkn,qm,21,b3,9659,25,1,0,0,0,1,0,s,0,p,0,a,x,3,0,0,0,0,passed notes across field entire time ,
A.A,2023tnkn,qm,21,r1,1700,24,0,0,1,2,1,0,b,0,x,0,v,a,4,1,0,0,0,died at 0:45s,
SS,Worlds Daly,qm,21,r3,9432,36,1,0,1,1,0,0,f,0,p,0,a,x,4,0,0,0,1,,
ap ,worlds ,qm,22,b2,1986,25,1,0,1,4,5,2,b,3.7,a,0,a,x,4,0,0,0,1,,
SS,Worlds Daly,qm,22,r3,910,24,1,0,1,4,1,0,b,0,s,0,v,x,5,0,0,0,1,Very cool robot design ,
NF,2023tnkn,qm,22,b3,7157,13,1,0,1,1,5,1,f,0,p,0,v,x,5,0,0,0,1,very fast bot. passed notes across field.shoot from far,
ap ,worlds ,qm,23,b2,8873,13,0,0,2,5,2,0,b,6.1,o,0,v,x,4,0,0,0,1,Good amp,
SS,Worlds Daly,qm,23,r3,9624,24,0,0,0,0,4,0,f,0,a,0,a,x,3,0,0,0,0,,
NF,2023tnkn,qm,23,b3,980,1,1,0,1,0,4,0,f,3.2,o,0,a,x,3,0,0,0,1,connection issues ,
Hm,Worlds,qm,23,r2,5460,48,1,0,2,0,1,4,f,0,s,0,a,x,3,0,0,0,0,,
Jv,WORLRSDS,qm,23,r1,4522,36,1,0,4,5,3,0,x,4.6,o,1,v,x,5,0,0,0,1,Good at everything ,
Iv,WORLRSDS,qm,22,r1,4028,24,1,0,2,0,3,0,x,0,p,0,a,x,5,0,0,0,0,Feeder bot,
Iv,WORLRSDS,qm,221,r1,1700,24,1,1,0,3,0,0,x,0,x,0,a,x,3,0,0,0,0,,
